id,season,week,homeTeam,awayTeam,homePoints,awayPoints,venueId,home_win,home_elo,away_elo,elo_diff,score_diff,is_neutral
400547663,2014,3,South Florida,NC State,17.0,49.0,3886.0,0,1254.0,1564.0,-310.0,-32.0,0
400547753,2014,3,Duke,Kansas,41.0,3.0,3982.0,1,1608.0,1215.0,393.0,38.0,0
400547788,2014,3,Miami,Arkansas State,41.0,20.0,3948.0,1,1634.0,1460.0,174.0,21.0,0
400547851,2014,3,Texas Tech,Arkansas,28.0,49.0,3784.0,0,1358.0,1862.0,-504.0,-21.0,0
400547852,2014,3,Iowa,Iowa State,17.0,20.0,3793.0,0,1599.0,1256.0,343.0,-3.0,0
400547945,2014,3,Michigan,Miami (OH),34.0,10.0,3558.0,1,1579.0,1076.0,503.0,24.0,0
400547906,2014,3,Washington,Illinois,44.0,19.0,3765.0,1,1687.0,1359.0,328.0,25.0,0
400548391,2014,3,South Alabama,Mississippi State,3.0,35.0,3797.0,0,1307.0,1889.0,-582.0,-32.0,0
400547855,2014,3,TCU,Minnesota,30.0,7.0,3616.0,1,2194.0,1700.0,494.0,23.0,0
400548390,2014,3,Ole Miss,Louisiana,56.0,15.0,3974.0,1,1780.0,1430.0,350.0,41.0,0
400548110,2014,3,Idaho,Western Michigan,33.0,45.0,3791.0,0,1001.0,1416.0,-415.0,-12.0,0
400548265,2014,3,Stanford,Army,35.0,0.0,3940.0,1,1871.0,1185.0,686.0,35.0,0
400548024,2014,3,Alabama,Southern Miss,52.0,12.0,3657.0,1,2130.0,1015.0,1115.0,40.0,0
400548022,2014,3,Old Dominion,Eastern Michigan,17.0,3.0,3918.0,1,1192.0,791.0,401.0,14.0,0
400547665,2014,3,Florida Atlantic,Tulsa,50.0,21.0,3715.0,1,1216.0,1177.0,39.0,29.0,0
400547831,2014,3,Utah State,Wake Forest,36.0,24.0,3905.0,1,1608.0,1237.0,371.0,12.0,0
400548020,2014,3,Middle Tennessee,Western Kentucky,50.0,47.0,3725.0,1,1312.0,1531.0,-219.0,3.0,0
400548108,2014,3,UNLV,Northern Illinois,34.0,48.0,3914.0,0,1099.0,1519.0,-420.0,-14.0,0
400547853,2014,3,Oklahoma State,UTSA,43.0,13.0,3646.0,1,1601.0,1191.0,410.0,30.0,0
400548389,2014,3,LSU,UL Monroe,31.0,0.0,3958.0,1,1816.0,1218.0,598.0,31.0,0
400548388,2014,3,Florida,Kentucky,36.0,30.0,3634.0,1,1741.0,1351.0,390.0,6.0,0
400547990,2014,3,Notre Dame,Purdue,30.0,14.0,3812.0,1,1643.0,1275.0,368.0,16.0,0
400548026,2014,3,UTEP,New Mexico State,42.0,24.0,3946.0,1,1288.0,900.0,388.0,18.0,0
400547850,2014,3,Oklahoma,Tennessee,34.0,10.0,3835.0,1,1746.0,1670.0,76.0,24.0,0
400548412,2014,3,Texas State,Navy,21.0,35.0,3644.0,0,1319.0,1568.0,-249.0,-14.0,0
400547995,2014,3,Rutgers,Penn State,10.0,13.0,3754.0,0,1465.0,1584.0,-119.0,-3.0,0
400547730,2014,3,Boston College,USC,37.0,31.0,3615.0,1,1546.0,1870.0,-324.0,6.0,0
400547848,2014,3,Texas,UCLA,17.0,20.0,3687.0,0,1596.0,1785.0,-189.0,-3.0,0
400548023,2014,3,Texas A&M,Rice,38.0,10.0,3795.0,1,1692.0,1460.0,232.0,28.0,0
400548263,2014,3,Colorado,Arizona State,24.0,38.0,3726.0,0,1286.0,1775.0,-489.0,-14.0,0
400547970,2014,3,Fresno State,Nebraska,19.0,55.0,3660.0,0,1331.0,1759.0,-428.0,-36.0,0
400548192,2014,3,Arizona,Nevada,35.0,28.0,3619.0,1,1723.0,1414.0,309.0,7.0,0
400547856,2014,4,Kansas State,Auburn,14.0,20.0,3636.0,0,1873.0,1848.0,25.0,-6.0,0
400547666,2014,4,South Florida,UConn,17.0,14.0,3886.0,1,1254.0,1139.0,115.0,3.0,0
400548031,2014,4,Rice,Old Dominion,42.0,45.0,3895.0,0,1460.0,1192.0,268.0,-3.0,0
400547810,2014,4,Pittsburgh,Iowa,20.0,24.0,3752.0,0,1547.0,1599.0,-52.0,-4.0,0
400548002,2014,4,Wisconsin,Bowling Green,68.0,17.0,347.0,1,1847.0,1319.0,528.0,51.0,0
400548385,2014,4,Georgia,Troy,66.0,0.0,3917.0,1,2034.0,1065.0,969.0,66.0,0
400547954,2014,4,Michigan State,Eastern Michigan,73.0,14.0,3936.0,1,2025.0,791.0,1234.0,59.0,0
400547774,2014,4,Virginia Tech,Georgia Tech,24.0,27.0,3799.0,0,1611.0,1921.0,-310.0,-3.0,0
400547817,2014,4,Syracuse,Maryland,20.0,34.0,1964.0,0,1390.0,1493.0,-103.0,-14.0,0
400547673,2014,4,Duke,Tulane,47.0,13.0,3982.0,1,1608.0,1217.0,391.0,34.0,0
400548196,2014,4,Colorado,Hawai'i,21.0,12.0,3726.0,1,1286.0,1271.0,15.0,9.0,0
400548029,2014,4,Akron,Marshall,17.0,48.0,3768.0,0,1221.0,1874.0,-653.0,-31.0,0
400547669,2014,4,East Carolina,North Carolina,70.0,41.0,3699.0,1,1641.0,1466.0,175.0,29.0,0
400547996,2014,4,Navy,Rutgers,24.0,31.0,3852.0,0,1568.0,1465.0,103.0,-7.0,0
400547857,2014,4,Kansas,Central Michigan,24.0,10.0,3833.0,1,1215.0,1375.0,-160.0,14.0,0
400547671,2014,4,SMU,Texas A&M,6.0,58.0,3735.0,0,971.0,1692.0,-721.0,-52.0,0
400547946,2014,4,Michigan,Utah,10.0,26.0,3558.0,0,1579.0,1655.0,-76.0,-16.0,0
400547822,2014,4,BYU,Virginia,41.0,33.0,3801.0,1,1603.0,1491.0,112.0,8.0,0
400547782,2014,4,Florida International,Louisville,3.0,34.0,218.0,0,1231.0,1773.0,-542.0,-31.0,0
400547832,2014,4,Wake Forest,Army,24.0,21.0,3630.0,1,1237.0,1185.0,52.0,3.0,0
400548384,2014,4,Alabama,Florida,42.0,21.0,3657.0,1,2130.0,1741.0,389.0,21.0,0
400547918,2014,4,Missouri,Indiana,27.0,31.0,3838.0,0,1801.0,1370.0,431.0,-4.0,0
400548027,2014,4,Wyoming,Florida Atlantic,20.0,19.0,3984.0,1,1191.0,1216.0,-25.0,1.0,0
400547962,2014,4,Minnesota,San José State,24.0,7.0,3953.0,1,1700.0,1173.0,527.0,17.0,0
400547907,2014,4,Illinois,Texas State,42.0,35.0,3832.0,1,1359.0,1319.0,40.0,7.0,0
400547987,2014,4,Penn State,Massachusetts,48.0,7.0,3632.0,1,1584.0,1110.0,474.0,41.0,0
