year,team,conference,elo
2017,Oklahoma State,Big 12,1917
2017,Old Dominion,Conference USA,1127
2017,Ole Miss,SEC,1550
2017,Oregon,Pac-12,1671
2017,Oregon State,Pac-12,1093
2017,Penn State,Big Ten,2134
2017,Pittsburgh,ACC,1585
2017,Purdue,Big Ten,1582
2017,Rice,Conference USA,996
2017,Rutgers,Big Ten,1097
2017,San Diego State,Mountain West,1626
2017,San José State,Mountain West,788
2017,SMU,American Athletic,1332
2017,South Alabama,Sun Belt,1100
2017,South Carolina,SEC,1608
2017,Southern Miss,Conference USA,1380
2017,South Florida,American Athletic,1728
2017,Stanford,Pac-12,1886
2017,Syracuse,ACC,1262
2017,TCU,Big 12,1817
2017,Temple,American Athletic,1552
2017,Tennessee,SEC,1366
2017,Texas,Big 12,1735
2017,Texas A&M,SEC,1663
2017,Texas State,Sun Belt,946
2017,Texas Tech,Big 12,1527
2017,Toledo,Mid-American,1596
2017,Troy,Sun Belt,1641
2017,Tulane,American Athletic,1335
2017,Tulsa,American Athletic,1409
2017,UAB,Conference USA,1323
2017,UCF,American Athletic,1842
2017,UCLA,Pac-12,1456
2017,UConn,American Athletic,1111
2017,UL Monroe,Sun Belt,1184
2017,UNLV,Mountain West,1275
2017,USC,Pac-12,1820
2017,Utah,Pac-12,1686
2017,Utah State,Mountain West,1463
2017,UTEP,Conference USA,878
2017,UTSA,Conference USA,1394
2017,Vanderbilt,SEC,1371
2017,Virginia,ACC,1312
2017,Virginia Tech,ACC,1846
2017,Wake Forest,ACC,1637
2017,Washington,Pac-12,2009
2017,Washington State,Pac-12,1578
2017,Western Kentucky,Conference USA,1404
2017,Western Michigan,Mid-American,1580
2017,West Virginia,Big 12,1602
2017,Wisconsin,Big Ten,2028
2017,Wyoming,Mountain West,1555
2018,Air Force,Mountain West,1498
2018,Akron,Mid-American,1142
2018,Alabama,SEC,2257
2018,App State,Sun Belt,1792
2018,Arizona,Pac-12,1451
2018,Arizona State,Pac-12,1645
2018,Arkansas,SEC,1285
2018,Arkansas State,Sun Belt,1538
2018,Army,FBS Independents,1867
2018,Auburn,SEC,1958
2018,Ball State,Mid-American,1042
2018,Baylor,Big 12,1434
2018,Boise State,Mountain West,1804
2018,Boston College,ACC,1636
2018,Bowling Green,Mid-American,1055
2018,Buffalo,Mid-American,1466
2018,BYU,FBS Independents,1580
2018,California,Pac-12,1532
2018,Central Michigan,Mid-American,1105
2018,Charlotte,Conference USA,1191
2018,Cincinnati,American Athletic,1687
2018,Clemson,ACC,2388
2018,Coastal Carolina,Sun Belt,1134
2018,Colorado,Pac-12,1424
2018,Colorado State,Mountain West,1211
2018,Duke,ACC,1539
2018,East Carolina,American Athletic,1075
2018,Eastern Michigan,Mid-American,1449
2018,Florida,SEC,1775
2018,Florida Atlantic,Conference USA,1530
2018,Florida International,Conference USA,1457
2018,Florida State,ACC,1413
2018,Fresno State,Mountain West,1793
2018,Georgia,SEC,2006
2018,Georgia Southern,Sun Belt,1478
2018,Georgia State,Sun Belt,1147
2018,Georgia Tech,ACC,1606
2018,Hawai'i,Mountain West,1171
2018,Houston,American Athletic,1440
2018,Illinois,Big Ten,1144
2018,Indiana,Big Ten,1513
2018,Iowa,Big Ten,1938
2018,Iowa State,Big 12,1704
2018,James Madison,CAA,1466
2018,Kansas,Big 12,1325
2018,Kansas State,Big 12,1593
2018,Kent State,Mid-American,997
2018,Kentucky,SEC,1672
2018,Liberty,FBS Independents,1216
2018,Louisiana,Sun Belt,1291
2018,Louisiana Tech,Conference USA,1384
2018,Louisville,ACC,1084
2018,LSU,SEC,1850
2018,Marshall,Conference USA,1517
2018,Maryland,Big Ten,1452
2018,Massachusetts,FBS Independents,1141
2018,Memphis,American Athletic,1683
2018,Miami,ACC,1667
2018,Miami (OH),Mid-American,1437
2018,Michigan,Big Ten,1866
2018,Michigan State,Big Ten,1673
2018,Middle Tennessee,Conference USA,1442
2018,Minnesota,Big Ten,1642
2018,Mississippi State,SEC,1937
2018,Missouri,SEC,1851
2018,Navy,American Athletic,1359
2018,NC State,ACC,1668
2018,Nebraska,Big Ten,1462
2018,Nevada,Mountain West,1443
2018,New Mexico,Mountain West,1173
2018,New Mexico State,FBS Independents,1003
2018,North Carolina,ACC,1364
2018,Northern Illinois,Mid-American,1413
2018,North Texas,Conference USA,1477
2018,Northwestern,Big Ten,1668
2018,Notre Dame,FBS Independents,1912
2018,Ohio,Mid-American,1829
2018,Ohio State,Big Ten,2020
2018,Oklahoma,Big 12,2023
2018,Oklahoma State,Big 12,1705
2018,Old Dominion,Conference USA,1089
2018,Ole Miss,SEC,1465
2018,Oregon,Pac-12,1640
2018,Oregon State,Pac-12,1061
2018,Penn State,Big Ten,1916
2018,Pittsburgh,ACC,1595
2018,Purdue,Big Ten,1511
2018,Rice,Conference USA,1027
2018,Rutgers,Big Ten,1147
2018,San Diego State,Mountain West,1468
2018,San José State,Mountain West,1055
2018,SMU,American Athletic,1353
2018,South Alabama,Sun Belt,1002
2018,South Carolina,SEC,1548
2018,Southern Miss,Conference USA,1445
2018,South Florida,American Athletic,1385
2018,Stanford,Pac-12,1707
2018,Syracuse,ACC,1693
2018,TCU,Big 12,1586
2018,Temple,American Athletic,1587
2018,Tennessee,SEC,1349
2018,Texas,Big 12,1771
2018,Texas A&M,SEC,1858
2018,Texas State,Sun Belt,1076
